xI_real,xI_imag,yout_real,yout_imag
0.232575846,-0.139932089,-0.081093686,0.440668515
0.178866605,-0.051472365,-0.131453027,0.347703576
0.122580624,0.041738736,-0.2160712,0.262787041
0.06244654,0.138658356,-0.326493568,0.070239806
-0.002244608,0.237885023,-0.415089306,-0.107693911
-0.071274868,0.337245037,-0.414531058,-0.3069388
-0.142827571,0.433581199,-0.336380851,-0.478250888
-0.213265786,0.52272436,-0.316084242,-0.568710903
-0.277366932,0.599589003,-0.307916802,-0.658852509
-0.328817579,0.658524227,-0.304340107,-0.752395642
-0.361054965,0.693794456,-0.280653288,-0.768773256
-0.368128642,0.70037162,-0.278821374,-0.800988164
-0.34577878,0.674538136,-0.249634442,-0.741596769
-0.292269457,0.614623569,-0.221275972,-0.713093243
-0.208858294,0.521889662,-0.205243467,-0.583404073
-0.100060509,0.400508722,-0.21819979,-0.470676727
0.026618603,0.257588967,-0.244039719,-0.242948153
0.161247903,0.103113428,-0.200050598,0.017847531
0.292501482,-0.051012302,-0.02400924,0.411344399
0.408829642,-0.191898425,0.019274548,0.582616238
0.499624408,-0.306883683,0.012994285,0.684931393
0.556564139,-0.384963709,0.00325172,0.72041874
0.574270231,-0.417952506,-0.019101404,0.752678037
0.550941634,-0.40152059,-0.043734615,0.700908864
0.488784744,-0.335793612,-0.093449899,0.637401967
0.393261774,-0.225680018,-0.148938715,0.502251231
0.272486404,-0.080548657,-0.147399946,0.37787996
0.136461548,0.086785658,-0.263671158,0.19296208
-0.004242652,0.261140176,-0.464902729,-0.087535693
-0.13954853,0.426554453,-0.483321986,-0.417657951
-0.260917944,0.568003406,-0.413826781,-0.603153574
-0.36201404,0.672805489,-0.368488885,-0.758806074
-0.439211432,0.732091343,-0.334419102,-0.81430802
-0.491767182,0.741823777,-0.294540973,-0.894680031
-0.521147746,0.70299548,-0.261410609,-0.843662652
-0.530732294,0.621373364,-0.163422137,-0.88153329
-0.525198424,0.506934173,-0.069415736,-0.829702663
-0.509377857,0.372687519,0.065319083,-0.782618821
-0.487768769,0.23317434,0.181355826,-0.674403894
-0.463845309,0.102880467,0.329191197,-0.603681798
-0.439580912,-0.005386995,0.440498068,-0.515473781
-0.41557959,-0.081626319,0.489306743,-0.40989124
-0.390910821,-0.119764235,0.526025613,-0.317092527
-0.363475292,-0.11823973,0.500452807,-0.278757431
-0.330739344,-0.079463909,0.442235169,-0.251010723
-0.290030302,-0.009589384,0.321000908,-0.280097078
-0.23904077,0.082254775,0.17432714,-0.30064663
-0.176352739,0.185502657,-0.017302845,-0.313655343
-0.101630477,0.289164048,-0.219156687,-0.261202324
-0.015761247,0.383145788,-0.381936328,-0.269725087
0.079200501,0.459357894,-0.475732581,-0.214474759
0.180208546,0.512211675,-0.5367869,-0.202224676
0.283483296,0.539185809,-0.604740041,-0.145083786
0.384932375,0.540790711,-0.639544938,-0.133186002
0.480379077,0.520131912,-0.708242274,-0.051029215
0.565744315,0.482209146,-0.726189133,-0.007616844
0.637347201,0.433125393,-0.782269539,0.12031002
0.692042274,0.379473904,-0.781060173,0.18323476
0.727280847,0.327388636,-0.753857509,0.277766968
0.741163083,0.282009728,-0.729070003,0.351171524
0.732494626,0.247184457,-0.713154936,0.386318631
0.700791344,0.225092724,-0.68947506,0.361072236
0.646371794,0.216585373,-0.668249138,0.347239959
0.570652052,0.221272758,-0.652733606,0.265465066
0.476045681,0.237613476,-0.617883662,0.186581333
0.365941581,0.263692494,-0.586590806,0.070463639
0.24495381,0.297454551,-0.576847951,-0.021425434
0.11869393,0.336754706,-0.527140951,-0.184775106
-0.006363079,0.379689671,-0.482534796,-0.349061929
-0.123252997,0.424570785,-0.39491763,-0.507347387
-0.225137304,0.469866691,-0.28023242,-0.621614754
-0.305584388,0.514137749,-0.200286983,-0.678846324
-0.35955297,0.555854196,-0.160829121,-0.729137176
-0.38395011,0.593456527,-0.130687295,-0.781376623
-0.377580963,0.625301971,-0.146964937,-0.773053025
-0.341966067,0.649565346,-0.177222646,-0.766151193
-0.281363906,0.664514833,-0.225306155,-0.725414981
-0.202154671,0.66871343,-0.274122231,-0.699704221
-0.112599411,0.661195488,-0.319046903,-0.63806146
-0.02196337,0.6416629,-0.375436889,-0.550575653
0.06043156,0.610522679,-0.43037585,-0.454525035
0.12611364,0.569048821,-0.449917531,-0.39586952
0.168507385,0.519093941,-0.47981052,-0.333029027
0.183525123,0.462779592,-0.432381419,-0.28363259
0.170075897,0.402613436,-0.440982242,-0.211374983
0.130389036,0.340858301,-0.382496747,-0.186877198
0.069701564,0.279105093,-0.318726088,-0.183925269
-0.00444794,0.218379193,-0.269038517,-0.225606565
-0.082964291,0.158774563,-0.19191792,-0.283961609
-0.156292071,0.09959261,-0.050169098,-0.342919036
-0.215647545,0.039623877,0.083181376,-0.361235328
-0.253833609,-0.022725782,0.200872057,-0.332361857
-0.266396844,-0.088777992,0.290794955,-0.287958826
-0.252207428,-0.159200356,0.353787879,-0.20863373
-0.213135049,-0.233722372,0.411451983,-0.096680465
-0.15431239,-0.310764958,0.46350371,0.037269016
-0.083580657,-0.387391384,0.487368271,0.220155894
-0.01021808,-0.45937111,0.503257059,0.340743619
0.055861458,-0.521565184,0.47092071,0.470503818
0.105389836,-0.568426281,0.459192829,0.550814256
0.130840502,-0.594627444,0.410751645,0.59583091
0.127292362,-0.595789338,0.423979841,0.608119826
0.093058235,-0.569038081,0.384414121,0.57568011
0.029731519,-0.513741631,0.360322973,0.484441567
-0.057585089,-0.431730108,0.390841418,0.369850007
-0.161051945,-0.327086627,0.423850503,0.171819025
-0.271123445,-0.20614171,0.40950369,-0.065798218
-0.3770667,-0.076972775,0.330811511,-0.289391173
-0.468454366,0.05133375,0.263216738,-0.484444917
-0.536089355,0.169500223,0.223391234,-0.57759767
-0.572717259,0.268983434,0.173789622,-0.660201759
-0.574155834,0.342660286,0.123951389,-0.705900731
-0.539085835,0.385631951,0.105246624,-0.700970959
-0.469224048,0.395580082,0.039756515,-0.661149357
-0.369557036,0.37273637,0.01268351,-0.568938728
-0.247187981,0.32002866,-0.040726651,-0.493972401
-0.110701222,0.242629908,-0.138444784,-0.322205065
0.030418646,0.147248483,-0.144787094,-0.111671184
0.166840156,0.041532869,-0.091307859,0.188294061
0.290075471,-0.066715431,-0.019604896,0.417679379
0.393144038,-0.170216149,-0.032351799,0.552044892
0.470960164,-0.262811696,-0.068109805,0.619551299
0.520585418,-0.339817021,-0.056873385,0.690180491
0.54141435,-0.39820363,-0.078183788,0.732750616
0.534826877,-0.436750181,-0.03903042,0.738017459
0.503772732,-0.455685054,-0.054152809,0.72492911
0.452466028,-0.456371766,-0.035415822,0.745248647
0.385952714,-0.441089634,0.02773664,0.673670061
0.309551709,-0.412510375,0.047942596,0.629673745
0.228426209,-0.373399079,0.093034155,0.527394374
0.147251349,-0.326351448,0.144397418,0.463663465
0.069809705,-0.273606356,0.188265896,0.345810412
-0.00106916,-0.217058728,0.238214616,0.233517819
-0.063570151,-0.158085257,0.22236155,0.098109901
-0.117079189,-0.097760422,0.166331367,-0.067403373
-0.161949792,-0.037193586,0.113786684,-0.189770159
-0.199321835,0.022538232,0.067665735,-0.308311967
-0.230978852,0.080273168,0.024611066,-0.38649752
-0.259041625,0.134686494,-0.014022179,-0.407172605
-0.28571971,0.184311016,-0.04215473,-0.486955955
-0.31299978,0.227562289,-0.011054601,-0.502593581
-0.342468791,0.262934401,0.013582808,-0.545573218
-0.374996792,0.288997589,0.023137536,-0.572804835
-0.410533665,0.304641296,0.068427662,-0.613905334
-0.448328681,0.309330461,0.113247646,-0.639166804
-0.486665094,0.302837249,0.160185898,-0.680431237
-0.522898496,0.285364097,0.193266457,-0.687430246
-0.553982399,0.257695294,0.261310582,-0.70344763
-0.576507703,0.220952844,0.277180406,-0.680023592
-0.587151404,0.17655417,0.334792972,-0.685050423
-0.583151307,0.126097711,0.383596288,-0.648028723
-0.562475296,0.071205955,0.445895834,-0.603947119
-0.524414755,0.013437669,0.458833126,-0.53776351
-0.469704511,-0.045747845,0.489681828,-0.433136383
-0.400480833,-0.104965622,0.5256365,-0.343494906
-0.320484612,-0.163117626,0.519502824,-0.251943487
-0.234747615,-0.219336883,0.540032852,-0.129707335
-0.14918389,-0.272785832,0.540973964,0.020293133
-0.070125565,-0.322777564,0.541321542,0.185881546
-0.003720448,-0.368689388,0.497723818,0.301638983
0.044637528,-0.409893965,0.447673363,0.401062874
0.070970073,-0.445884738,0.41071208,0.449601102
0.073107236,-0.476182324,0.378627359,0.488520314
0.050920644,-0.500215609,0.401337975,0.499964037
0.006516789,-0.517485592,0.392253659,0.482813368
-0.055802962,-0.527759972,0.468797084,0.439524184
-0.129915211,-0.53093995,0.506611092,0.378447845
-0.208524771,-0.527024827,0.56150487,0.310660079
-0.283700726,-0.516219976,0.637310825,0.220021159
-0.347650989,-0.498917188,0.661327037,0.155167634
-0.393511895,-0.475749043,0.66881589,0.10468332
-0.4158529,-0.44752629,0.669815203,0.054252734
-0.411379697,-0.415352448,0.661527433,0.03137577
-0.379064337,-0.380677874,0.635813106,0.020238816
-0.320079267,-0.344994971,0.562072052,0.039888317
-0.237993749,-0.310091085,0.519994515,0.082420398
-0.138214933,-0.278057561,0.462012786,0.119944134
-0.027347379,-0.250884352,0.396011182,0.223184646
0.087363057,-0.230573815,0.323025078,0.353755861
0.198756706,-0.218882547,0.190698387,0.498197334
0.300321706,-0.217040986,0.052074546,0.600415896
0.386881601,-0.225782327,-0.037663765,0.621840963
0.454774947,-0.244942688,-0.11464281,0.661099758
0.501988638,-0.273275957,-0.153420467,0.686462789
0.528506418,-0.308572291,-0.165574638,0.712260711
0.535812144,-0.347747062,-0.163888265,0.724020285
0.526535234,-0.386926339,-0.144580228,0.741870213
0.504253983,-0.421615711,-0.107357858,0.752701851
0.472889609,-0.447172606,-0.052757989,0.730815718
0.436355993,-0.459194459,-0.030358723,0.706069214
0.398196598,-0.453946085,0.001411039,0.695823498
0.361353655,-0.42884799,-0.010998621,0.654167985
0.328017651,-0.382738048,0.011631604,0.603888614
