xI_actual,xI_real,xI_imag
9.05E-05,-0.010644206,-0.352087939
9.05E-05,-0.028253631,-0.397762455
9.05E-05,-0.035466794,-0.426719689
9.05E-05,-0.030418348,-0.436705162
9.05E-05,-0.012392471,-0.426892069
9.05E-05,0.018063401,-0.397949954
9.05E-05,0.059137284,-0.352093445
9.05E-05,0.107826241,-0.292911148
9.05E-05,0.160194623,-0.225092559
9.05E-05,0.211690303,-0.154044293
9.05E-05,0.25747718,-0.085452472
9.05E-05,0.2929269,-0.024777724
9.05E-05,0.313945515,0.023205313
9.05E-05,0.317369762,0.05484219
9.05E-05,0.301214783,0.067907488
9.05E-05,0.264891714,0.061839409
9.05E-05,0.209224802,0.037741758
9.05E-05,0.136424405,-0.001641957
9.05E-05,0.049947948,-0.052207816
9.05E-05,-0.045767737,-0.108870476
9.05E-05,-0.145604434,-0.165971185
9.05E-05,-0.244111477,-0.217820506
9.05E-05,-0.3358334,-0.259193691
9.05E-05,-0.415683344,-0.285766176
9.05E-05,-0.479228375,-0.294537535
9.05E-05,-0.522920557,-0.284059691
9.05E-05,-0.544324045,-0.25459205
9.05E-05,-0.542181097,-0.208028161
9.05E-05,-0.516508381,-0.147761352
9.05E-05,-0.468547106,-0.078353069
9.05E-05,-0.400728059,-0.005139252
9.05E-05,-0.316513204,0.066198895
9.05E-05,-0.220255614,0.130184348
9.05E-05,-0.116974325,0.181947693
9.05E-05,-0.012142822,0.217662039
9.05E-05,0.08863149,0.234810137
9.05E-05,0.179847395,0.232407996
9.05E-05,0.256441564,0.211006167
9.05E-05,0.314076132,0.172665959
9.05E-05,0.34943479,0.120701426
9.05E-05,0.360441775,0.059413536
9.05E-05,0.346493413,-0.006312797
9.05E-05,0.308543695,-0.071393115
9.05E-05,0.249143816,-0.130993714
9.06E-05,0.172311258,-0.180867236
9.06E-05,0.083391702,-0.217713841
9.06E-05,-0.011329001,-0.239380125
9.06E-05,-0.104974467,-0.245010355
9.06E-05,-0.190607074,-0.235030688
9.06E-05,-0.26174272,-0.211111173
9.06E-05,-0.312844857,-0.175941501
9.06E-05,-0.339813533,-0.132997168
9.06E-05,-0.340361126,-0.086208383
9.06E-05,-0.314263982,-0.039658545
9.06E-05,-0.263398158,0.002779159
9.06E-05,-0.191694131,0.037710623
9.06E-05,-0.104793916,0.062505271
9.06E-05,-0.009682029,0.075435665
9.06E-05,0.085954667,0.075806989
9.06E-05,0.174312875,0.063931864
9.06E-05,0.248175363,0.041094957
9.06E-05,0.301524752,0.009386744
9.06E-05,0.330077339,-0.028516871
9.06E-05,0.331626476,-0.069557883
9.06E-05,0.306275799,-0.110599354
9.06E-05,0.256334436,-0.148648319
9.06E-05,0.186164219,-0.181123186
9.06E-05,0.101684143,-0.206011354
9.06E-05,0.009831583,-0.222012654
9.06E-05,-0.082104451,-0.228596039
9.06E-05,-0.167161487,-0.22599862
